timestamp,site_id,floor,zone_name,sensor_id,temperature_c,humidity_rh,temp_status,humidity_status,alarm_level,alarm_code
2025-01-01T08:00:00Z,TPE-Plant1,4F,物料區,SEN-01,18.8,36.5,NORMAL,NORMAL,NONE,SYS_OK
2025-01-08T08:00:00Z,TPE-Plant1,4F,物料區,SEN-01,18.8,39.1,NORMAL,NORMAL,NONE,SYS_OK
2025-01-15T08:00:00Z,TPE-Plant1,4F,物料區,SEN-01,18.8,32.5,NORMAL,NORMAL,NONE,SYS_OK
2025-01-22T08:00:00Z,TPE-Plant1,4F,物料區,SEN-01,19.5,36.2,NORMAL,NORMAL,NONE,SYS_OK
2025-01-01T08:00:00Z,TPE-Plant1,4F,物料區,SEN-02,20.7,44.3,NORMAL,NORMAL,NONE,SYS_OK
2025-01-08T08:00:00Z,TPE-Plant1,4F,物料區,SEN-02,21.3,47.5,NORMAL,NORMAL,NONE,SYS_OK
2025-01-15T08:00:00Z,TPE-Plant1,4F,物料區,SEN-02,22.0,44.3,NORMAL,NORMAL,NONE,SYS_OK
2025-01-22T08:00:00Z,TPE-Plant1,4F,物料區,SEN-02,19.9,41.0,NORMAL,NORMAL,NONE,SYS_OK
2025-01-01T08:00:00Z,TPE-Plant1,4F,物料區,SEN-03,18.4,37.9,NORMAL,NORMAL,NONE,SYS_OK
2025-01-08T08:00:00Z,TPE-Plant1,4F,物料區,SEN-03,18.1,33.7,NORMAL,NORMAL,NONE,SYS_OK
2025-01-15T08:00:00Z,TPE-Plant1,4F,物料區,SEN-03,18.8,29.6,NORMAL,NORMAL,NONE,SYS_OK
2025-01-22T08:00:00Z,TPE-Plant1,4F,物料區,SEN-03,17.5,35.5,LOW,NORMAL,WARNING,ERR_TEMP_LOW
2025-01-01T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-04,18.3,29.3,NORMAL,NORMAL,NONE,SYS_OK
2025-01-08T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-04,17.6,30.7,LOW,NORMAL,WARNING,ERR_TEMP_LOW
2025-01-15T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-04,18.2,26.7,NORMAL,NORMAL,NONE,SYS_OK
2025-01-22T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-04,17.9,25.5,LOW,NORMAL,WARNING,ERR_TEMP_LOW
2025-01-01T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-05,16.1,36.2,LOW,NORMAL,WARNING,ERR_TEMP_LOW
2025-01-08T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-05,18.6,40.6,NORMAL,NORMAL,NONE,SYS_OK
2025-01-15T08:00:00Z,TPE-Plant1,4F,組裝區,SEN-05,21.0,34.3,NORMAL,NORMAL,NONE,SYS_OK
